FREQ,Frequency,INSTRUMENT_TYPE,Instrument Type,TENOR,Tenor,UNIT_MEASURE,Unit of Measure,DECIMALS,COLLECTION,Collection Indicator,TIME_PERIOD,OBS_VALUE,CALC_METHOD,Calculation Method
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-05,1.48,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-06,1.44,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-07,1.47,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-08,1.52,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-09,1.51,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-10,1.55,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-11,1.46,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2013-12,1.38,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-01,1.37,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-02,1.4,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-03,1.29,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-04,1.31,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-05,1.33,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-06,1.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-07,1.19,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-08,1.2,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-09,1.11,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-10,1.27,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-11,1.27,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2014-12,1.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-01,1.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-02,0.92,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-03,0.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-04,0.99,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-05,0.95,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-06,0.86,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-07,0.89,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-08,0.83,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-09,0.65,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2015-10,0.67,,
