Instrument,Total Assets,Date
DK0010025113,115193512.965622,2003-12-31T00:00:00Z
DK0010025113,191853783.995768,2004-12-31T00:00:00Z
DK0010025113,181566226.795611,2005-12-31T00:00:00Z
DK0010025113,229282172.958425,2006-12-31T00:00:00Z
DK0010025113,272268989.81989,2007-12-31T00:00:00Z
DK0010025113,275943681.550918,2008-12-31T00:00:00Z
DK0010025113,277801681.83655,2009-12-31T00:00:00Z
DK0010025113,263940253.491796,2010-12-31T00:00:00Z
DK0010025113,257023506.877938,2011-12-31T00:00:00Z
DK0010025113,278083415.911665,2012-12-31T00:00:00Z
DK0010025113,280321034.978438,2013-12-31T00:00:00Z
DK0010025113,260060441.613726,2014-12-31T00:00:00Z
DK0010025113,250438167.583457,2015-12-31T00:00:00Z
DK0010025113,257239304.623574,2016-12-31T00:00:00Z
DK0010025113,321114424.332296,2017-12-31T00:00:00Z
DK0010025113,320862580.060516,2018-12-31T00:00:00Z
DK0010025113,167926148.303813,2019-12-31T00:00:00Z
DK0010025113,190620609.283698,2020-12-31T00:00:00Z
DK0010025113,182518003.210764,2021-12-31T00:00:00Z
DK0010256197,178962266.535244,2000-12-31T00:00:00Z
DK0010256197,187094068.304374,2001-12-31T00:00:00Z
DK0010256197,208893792.167013,2002-12-31T00:00:00Z
DK0010256197,269161246.72692,2003-12-31T00:00:00Z
DK0010256197,274337413.129526,2004-12-31T00:00:00Z
DK0010256197,253854826.671748,2005-12-31T00:00:00Z
DK0010256197,254621432.112756,2006-12-31T00:00:00Z
DK0010256197,238880187.940486,2007-12-31T00:00:00Z
DK0010256197,223320120.977589,2008-12-31T00:00:00Z
DK0010256197,234071622.375739,2009-12-31T00:00:00Z
DK0010256197,219902337.438512,2010-12-31T00:00:00Z
DK0010256197,192878286.609786,2011-12-31T00:00:00Z
DK0010256197,201974801.812005,2012-12-31T00:00:00Z
DK0010256197,207474844.274078,2013-12-31T00:00:00Z
DK0010256197,202105707.833038,2014-12-31T00:00:00Z
DK0010256197,250341977.356733,2015-12-31T00:00:00Z
DK0010256197,274979472.805006,2016-12-31T00:00:00Z
DK0010256197,300623781.048017,2017-12-31T00:00:00Z
DK0010256197,281674781.513509,2018-12-31T00:00:00Z
DK0010256197,306529570.69949,2019-12-31T00:00:00Z
DK0010256197,389698640.929683,2020-12-31T00:00:00Z
DK0010256197,428743979.818057,2021-12-31T00:00:00Z
DK0010256197,424446139.893762,2022-12-31T00:00:00Z
DK0010010438,,
DK0010170042,327886369.95476,2000-12-31T00:00:00Z
DK0010170042,35206231.2762133,2001-12-31T00:00:00Z
DK0010170042,228866211.227564,2002-12-31T00:00:00Z
DK0010170042,258408649.379171,2003-12-31T00:00:00Z
DK0010170042,239727851.449209,2004-12-31T00:00:00Z
DK0010170042,131450939.291442,2005-12-31T00:00:00Z
DK0010170042,87453254.479779,2006-12-31T00:00:00Z
DK0010170042,99249412.6859828,2007-12-31T00:00:00Z
DK0010170042,88963800.6499728,2008-12-31T00:00:00Z
DK0010170042,74895029.537976,2009-12-31T00:00:00Z
DK0010170042,54746867.2579082,2010-12-31T00:00:00Z
DK0010170042,46264844.1581055,2011-12-31T00:00:00Z
DK0010170042,44542221.1211778,2012-12-31T00:00:00Z
DK0010170042,43828277.6160112,2013-12-31T00:00:00Z
DK0010170042,38416169.7564463,2014-12-31T00:00:00Z
DK0010170042,35572193.6028406,2015-12-31T00:00:00Z
DK0010170042,34693932.4442934,2016-12-31T00:00:00Z
DK0010170042,42135684.4667236,2017-12-31T00:00:00Z
DK0010170042,39950696.5456863,2018-12-31T00:00:00Z
DK0010170042,48383368.3578505,2019-12-31T00:00:00Z
DK0010170042,52862254.6123039,2020-12-31T00:00:00Z
DK0010170042,51833957.6484978,2021-12-31T00:00:00Z
DK0010170042,55286251.0256669,2022-12-31T00:00:00Z
DK0010233816,571895771.728966,2000-12-31T00:00:00Z
DK0010233816,595733013.780707,2001-12-31T00:00:00Z
DK0010233816,658646553.796976,2002-12-31T00:00:00Z
DK0010233816,827307373.933609,2003-12-31T00:00:00Z
DK0010233816,977324298.196013,2004-12-31T00:00:00Z
DK0010233816,931317707.588967,2005-12-31T00:00:00Z
DK0010233816,999017458.743537,2006-12-31T00:00:00Z
DK0010233816,865769381.362568,2007-12-31T00:00:00Z
DK0010233816,964075667.349201,2008-12-31T00:00:00Z
DK0010233816,1084932553.35117,2009-12-31T00:00:00Z
DK0010233816,1070140748.98567,2010-12-31T00:00:00Z
DK0010233816,1053099773.63747,2011-12-31T00:00:00Z
DK0010233816,1129151330.69083,2012-12-31T00:00:00Z
DK0010233816,1168592016.51248,2013-12-31T00:00:00Z
DK0010233816,1177256568.15117,2014-12-31T00:00:00Z
DK0010233816,5820891.17843942,2015-12-31T00:00:00Z
DK0010233816,5820891.17843942,2015-12-31T00:00:00Z
DK0010233816,4784527.85301747,2016-12-01T00:00:00Z
DK0010233816,6129176.58714306,2017-12-01T00:00:00Z
DK0010233816,7666686.88952254,2018-12-01T00:00:00Z
DK0010025899,,
DK0010245661,173048247.276771,2000-12-31T00:00:00Z
DK0010245661,158582983.822648,2001-12-31T00:00:00Z
DK0010245661,192529950.071428,2002-12-31T00:00:00Z
DK0010245661,239891207.027621,2003-12-31T00:00:00Z
DK0010245661,282664939.897488,2004-12-31T00:00:00Z
